Index,text_comments
14,i m glad that my adblock doesn t let her have that ad revenue
14,idubbbz  says the n word tana  tells him to kill himself  jake paul  says the n word tana  marries him
14,tana is deleting her comments faster than hillary emails
15,jontron being serious is the scariest thing ever 
15,just realised jontron looks like every age at once
15,every time i see this i think about how much more chest hair i have than jontron and wonder if that s a good thing or not
15,i appreciate jon researched the irish after the fact 
15,literally everything he says here is   true  aged like a fine wine 
16,worst week of our life yeah you gave them damage for their whole lives  your disguisting 
16,all abusers r sorry once they get caught  they weren t sorry when they were abusing the kids
16, we just wanted our kids to be happy   throws cody s toys away destroys cody s ds and yells at him and alex 
16,notice how they just feel sorry for themselfs and not the kids
16,notice how angry mike looks throughout the whole video  he knows he s lost his meal ticket 
17,  is when he starts his  apology   like if i helped
17,y don t u apologize to alyssa directly  
17,why don t you try being a human and actually say sorry to her
17,who else came from alissa s video  like   if you re really sorry then name every person you hurt   god
17,when your acting classes from disney come in handy
18,im  years late but you can tell its genuine 
18, no fake crying  no dumb excuses  is mature  owned up  didn t ignore it that right there is a king 
18,it s ok felix it was a canon event 
18,still the best apology video i ve ever seen after the recent video 
18,he already has a lifetime n word pass from edgar
19,what  for  years that once boy has been tortured from the assault   you give spacey a pass because he was allegedly drunk   twistedsick
19,why did you even have a  year old at your apartment for a party where alcohol was being consumed   
19,my uncle raped me over  years ago  i guess i should let it go since it was  yrs ago  that is basically what you re implying
19,you just made the queer community look terrible so thanks  also way to turn this into your coming out story 
19,holy cow  if you re reading this story and perceiving kevin spacey to be the hero    you re reading it wrong 
20,i made a mistake  and it was my fault   no tears no deep breathing or long pauses just owning up to something like an adult   i still watch this because it s relieving to know people like jenna exist 
20,so many youtubers make apology videos for cheating doing terrible things comitting crimes doing drugs   whatever else   you make an apology video for your fish   honestly i feel like you re the only sane person on this platform   thank you for being precious and inspiring 
20,laura lee  not even a  minute apology video for tweeting horribly racist things jenna marbles   minute apology video for buying the wrong fish tank    
20,things i learned    no circle tank   real plants   fish breed research   jenna is best at fixing her mistakes   fish cycles   pet store employees probably ain t shit  not always    jenna community is probably best community
20,i love how emotional she s getting over the fish it really shows how big of a heart she has  
21,also it sounds like he is competing in a poetry slam    not apologizing 
21,how u cry with no tears  what is he sniffling for jeez 
21,this just in  reagan is angery
21,he showed more emotion in his vlog when his dog died he cried actual tears and looked distraught  but this  apology  video was pure bs all this crying with zero tears plus he looks like he s about to start laughing all the way through this  he knows his wife won t leave him and thinks he can fool everyone else too 
21,he definitely didnt get a callback
22,imagine if he went this video wouldn t be possible without raid shadow legends
22,before i start the apology  this video was sponsored by raid shadow legends
22,bro had chatgpt early access
22,travis scott s apology makes this look like a masterpiece
22,canadians when they accidentally bump someone on the shoulder 
23, that    of ignorant people you were talking about was pretty much alot of your youtube friends and fans worried about you making those videos  no hate  good luck 
23, it s not a prank what it is is acting   this guy makes me feel smart 
23, hey sorry that i scared the shit out of thousands of my fans and made them want to harm themselves  guess i m just too creative    
23,so    were positive fans   were innocent fans and then   were negative   so there s  numbers in a percentage    ok logic 
23,allow me to summarize  hello i m jake i am a huge douche please don t criticize me i have very thin skin    jake 
24,i m not gonna lie i knew that would cause backlash as i watched it  but i know your intentions were not malicious at all 
24,you have a great opportunity now to do a video with a local food bank and really inform people about what they do and the types of people they service   everyone makes mistakes     it s what we do to correct them that really counts  thanks 
24,legit u were more sorry and sincere for spending one pound in a day that logan paul was for  showing a dead body on camera and being completely disrespectful to a suicide victim
24,i ve watched u for four years  its first time u made a right spanner of yourself  well done for making this video but please please in future remember how lucky u are in the position ur in
24,i despised your last video but i have such a mad respect for you owning up to your actions and calling yourself out sets a great example for your younger viewers
25,thank you for this lucky ily
25,thank u for this maloi 
25,thank you for listening lucky  blooms will always be here 
25,thank you for taking accountability and hoping that everyone will be educated moving forward  love you maloi  
25,sometimes we win sometimes we learn  thank you for acknowledging and taking accountability  
26,honestly me apologizing to someone i hate because mom forced me to apologize
26,she s not sorry for the racist tweets she s sorry that she got caught
26,her tears are as existent as jeffree star s eyebrows
26,her tears are faker than my happiness
26,my  yr old self trying convince my mom not to ground me 
27,this felt like i was sitting with a friend it felt honest and real  this is an apology video 
27,laura isn t getting hate for the tweet  she s getting hate for her racism  you didn t force her to be racist  don t take responsibility for that 
27,you seem very well spoken and self aware i think you re hanging with the wrong crowd 
27,hands down the best apology video on youtube
27,i feel like you re being genuine and you got sucked into a vortex of bad energy   lesson learned 
28,how are you so comically unaware
28,judge  ricegum killed someone ricegum  other people did it too
28,proof that brains and money don t always go together 
28,omg ricegum invented a new challenge  the  try not to apologize  challenge
28,ricegum doesn t apologize but blames other youtubers  that s how mafia works 
29,translation  you re just sorry you got caught and punished this time 
29,appreciate you taking full responsibility  us runners are a forgiving bunch  see you out on the roads somewhere else 
29,big respect here 
29,such a fake apology  i m sure if you didn t get banned you wouldn t be doing this  some athlete 
